Account_id,Subscription_id,Account_name,Industry,Country,Signup_date,Start_date,End_date,Referral_source,Plan_tier_before,Upgrade_flag,Downgrade_flag,Plan_tier_after,Churn_flag,Seats,Is_trial,Auto_renewal,Mrr_amount,Arr_amount,Billing_frequency,Usage_count,Usage_duration_secs,Error_count,Total_tickets,Avg_satisfaction
A-779e4e,S-92f228,Company_193,HealthTech,US,1/2/2023,1/9/2023,12/31/2024,Organic,Basic,FALSE,FALSE,Basic,FALSE,7,FALSE,TRUE,171,2052,Annual,49,19436,2,5,4
A-af0cd2,S-50aaaa,Company_204,Cybersecurity,IN,1/3/2023,1/12/2023,12/31/2024,Other,Enterprise,FALSE,TRUE,Pro,FALSE,19,TRUE,TRUE,931,11172,Monthly,69,11492,3,3,4
A-779e4e,S-18356d,Company_193,HealthTech,US,1/2/2023,1/28/2023,12/31/2024,Organic,Basic,TRUE,FALSE,Enterprise,FALSE,12,FALSE,TRUE,3582,42984,Annual,23,8686,3,5,4
A-7df7a7,S-6676fa,Company_125,DevTools,US,1/28/2023,2/5/2023,12/31/2024,Organic,Basic,TRUE,FALSE,Pro,FALSE,7,FALSE,TRUE,343,4116,Monthly,70,9128,2,3,4
A-d792a6,S-47ce2d,Company_486,DevTools,US,1/23/2023,2/6/2023,12/31/2024,Organic,Enterprise,FALSE,TRUE,Pro,FALSE,21,FALSE,TRUE,1813,21756,Monthly,49,11822,0,5,4
A-779e4e,S-11066a,Company_193,HealthTech,US,1/2/2023,2/12/2023,11/24/2023,Organic,Basic,TRUE,FALSE,Pro,TRUE,12,FALSE,TRUE,931,11172,Annual,69,23211,2,5,4
A-f17767,S-7de656,Company_123,DevTools,US,1/30/2023,2/15/2023,8/25/2023,Event,Enterprise,FALSE,TRUE,Pro,TRUE,8,TRUE,TRUE,686,8232,Annual,53,14405,3,3,4
A-b11cd0,S-7a36ee,Company_439,DevTools,US,1/20/2023,2/16/2023,6/22/2024,Ads,Pro,FALSE,TRUE,Basic,TRUE,26,TRUE,TRUE,494,5928,Monthly,52,10270,2,4,4
A-d792a6,S-78c894,Company_486,DevTools,US,1/23/2023,2/17/2023,12/31/2024,Organic,Enterprise,FALSE,TRUE,Basic,FALSE,4,FALSE,TRUE,76,912,Annual,51,20626,2,5,4
A-977ca0,S-ea5984,Company_232,HealthTech,IN,2/20/2023,2/20/2023,12/31/2024,Partner,Basic,TRUE,FALSE,Enterprise,FALSE,6,FALSE,TRUE,1194,14328,Annual,42,10326,3,3,4
A-39b19f,S-6904e6,Company_176,FinTech,US,2/3/2023,2/23/2023,12/31/2024,Partner,Enterprise,FALSE,TRUE,Pro,FALSE,9,FALSE,TRUE,784,9408,Monthly,59,15369,4,6,4.2
A-484819,S-18f80d,Company_109,HealthTech,US,2/21/2023,2/23/2023,12/31/2024,Organic,Pro,TRUE,FALSE,Enterprise,FALSE,18,FALSE,TRUE,3582,42984,Annual,33,9378,3,5,4.2
A-39b19f,S-0e4b0c,Company_176,FinTech,US,2/3/2023,2/28/2023,6/15/2023,Partner,Enterprise,FALSE,TRUE,Pro,TRUE,13,FALSE,TRUE,1176,14112,Annual,45,9063,1,6,4.2
